match_id,frame_idx,timestamp,participantId,puuid,team,X_team,X_current_gold,X_minions_killed,X_jungle_minions_killed,X_time_enemy_spent_controlled,X_pos_x,X_pos_y,Y_current_gold,Y_total_gold,Y_total_xp,Y_total_kills,X_champ_abilityHaste,X_champ_abilityPower,X_champ_armor,X_champ_armorPen,X_champ_armorPenPercent,X_champ_attackDamage,X_champ_attackSpeed,X_champ_bonusArmorPenPercent,X_champ_bonusMagicPenPercent,X_champ_ccReduction,X_champ_cooldownReduction,X_champ_health,X_champ_healthMax,X_champ_healthRegen,X_champ_lifesteal,X_champ_magicPen,X_champ_magicPenPercent,X_champ_magicResist,X_champ_movementSpeed,X_champ_omnivamp,X_champ_physicalVamp,X_champ_power,X_champ_powerMax,X_champ_powerRegen,X_champ_spellVamp,X_dmg_magicDamageDone,X_dmg_magicDamageDoneToChampions,X_dmg_magicDamageTaken,X_dmg_physicalDamageDone,X_dmg_physicalDamageDoneToChampions,X_dmg_physicalDamageTaken,X_dmg_totalDamageDone,X_dmg_totalDamageDoneToChampions,X_dmg_totalDamageTaken,X_dmg_trueDamageDone,X_dmg_trueDamageDoneToChampions,X_dmg_trueDamageTaken,X_evt_kills,X_evt_deaths,X_evt_assists,X_evt_elite_monsters,X_evt_buildings,X_evt_wards_placed,X_evt_wards_killed
NA1_5378099577,0,0,1,4XD-PrFddt7S-cIxT1NQP3-BboLQg8oK6hl-4GEvPFrBBdEIIdT5MpqZRTu_AKM90tSTbXQsHrn16g,1,1,500,0,0,0,554,581,500,500,0,0,0,0,35,0,0,25,100,0,0,0,0,630,630,0,0,0,0,32,335,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,0,0,2,oQ6mmx846IZb5gVPUP-oNjeoTNThg_bQ3Pp6wlyW3VFk5EDoDugPmlHjeyfAJ0O9vv7eXwiamfhDqQ,1,1,500,0,0,0,593,464,500,500,0,0,0,0,22,0,0,25,100,0,0,0,0,605,605,0,0,0,0,32,330,0,0,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,0,0,3,LsukTeA9CtkvtUNYKO6izvyWkuo1NTVJbzwEtFIF3IzImsQu0UyGO8XLC9t0oTp3iiAkX-onYxQbeQ,1,1,500,0,0,0,557,345,500,500,0,0,0,0,28,0,0,25,100,0,0,0,0,565,565,0,0,0,0,30,330,0,0,269,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,0,0,4,pHIKmfO5rh760Hl4JzDqzPKioIdueZPiCUK9zwe43msmW0tQ5Syx7JUrnJNxDVAF858MLrB3nZn5zQ,1,1,500,0,0,0,458,271,500,500,0,0,0,0,27,0,0,25,100,0,0,0,0,640,640,0,0,0,0,30,335,0,0,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,0,0,5,VXcEnBAIDpRDEyhH-u3vcxNTdqvrKhvjzBIYE1PkeTNrZsllqAntlVWRCljKbLxy6nKZrZUfB5YYtA,1,1,100,0,0,0,335,269,100,500,0,0,0,0,40,0,0,62,100,0,0,0,0,715,715,21,0,0,0,32,330,0,0,350,350,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,0,0,6,C1FRh4c0wNWMMUNR4IbLbr009sjP_GO4oZGD2sN51_N_BOrhAfdA02pkzQ_bpSU9pmVep9yXnxwNYw,-1,-1,500,0,0,0,14500,14511,500,500,0,0,0,0,36,0,0,25,100,0,0,0,0,650,650,0,0,0,0,32,350,0,0,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,0,0,7,0qQUd__xYG9jHlKCMdBi5ttXPiRioLRhylqOixVw6nHvOd8XsksCGLykpcWx1cquUqwVwSngMtc-pw,-1,-1,500,0,0,0,14539,14394,500,500,0,0,0,0,32,0,0,25,100,0,0,0,0,655,655,0,0,0,0,32,340,0,0,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,0,0,8,PEVL7I8-NzSy4_GjOkrRYrciEmvvjxrDlz-fncvM9UMZAqD9cdwhVqXtm_kYFiQpkYbtJuiRFSGouA,-1,-1,500,0,0,0,14503,14275,500,500,0,0,0,0,38,0,0,25,100,0,0,0,0,650,650,0,0,0,0,32,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,0,0,9,45VQNiMNR9kN1phwzWRpDjIFa7G4zAHYLl1K1c5ApjbgsLCn0w-F0Uys05ayOiRV1f5DMIW2L_IFTA,-1,-1,500,0,0,0,14404,14201,500,500,0,0,0,0,28,0,0,25,100,0,0,0,0,641,641,0,0,0,0,30,335,0,0,320,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,0,0,10,PNN01qtMiPfsQYvoUv1LvZ8-IsrYmMPESV4DxhLYllmCB_HkUY7iX5kblVb5Fft82xnFxYbKJL_urQ,-1,-1,100,0,0,0,14281,14199,100,500,0,0,0,0,35,0,0,60,100,0,0,0,0,640,640,20,0,0,0,32,345,0,0,280,280,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,1,60020,1,4XD-PrFddt7S-cIxT1NQP3-BboLQg8oK6hl-4GEvPFrBBdEIIdT5MpqZRTu_AKM90tSTbXQsHrn16g,1,1,0,0,0,0,3431,9731,0,500,0,0,0,0,35,0,0,73,100,0,0,0,0,805,805,25,0,0,0,32,335,0,0,200,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,1,60020,2,oQ6mmx846IZb5gVPUP-oNjeoTNThg_bQ3Pp6wlyW3VFk5EDoDugPmlHjeyfAJ0O9vv7eXwiamfhDqQ,1,1,5,0,0,0,4841,8451,5,505,0,0,0,9,22,0,0,61,100,0,0,0,0,615,615,5,0,0,0,32,330,0,0,410,410,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,1,60020,3,LsukTeA9CtkvtUNYKO6izvyWkuo1NTVJbzwEtFIF3IzImsQu0UyGO8XLC9t0oTp3iiAkX-onYxQbeQ,1,1,0,0,0,0,6908,6935,0,500,0,0,0,0,28,0,0,76,110,0,0,0,0,710,710,11,3,0,0,30,330,0,0,269,269,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,1,60020,4,pHIKmfO5rh760Hl4JzDqzPKioIdueZPiCUK9zwe43msmW0tQ5Syx7JUrnJNxDVAF858MLrB3nZn5zQ,1,1,0,0,0,0,9321,2281,0,500,0,0,0,0,27,0,0,74,113,0,0,0,0,785,785,8,3,0,0,30,335,0,0,345,345,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,1,60020,5,VXcEnBAIDpRDEyhH-u3vcxNTdqvrKhvjzBIYE1PkeTNrZsllqAntlVWRCljKbLxy6nKZrZUfB5YYtA,1,1,0,0,0,0,7075,1260,0,500,0,0,0,0,40,0,0,62,110,0,0,0,0,780,780,21,0,0,0,32,336,0,0,350,350,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA1_5378099577,1,60020,6,C1FRh4c0wNWMMUNR4IbLbr009sjP_GO4oZGD2sN51_N_BOrhAfdA02pkzQ_bpSU9pmVep9yXnxwNYw,-1,-1,1,0,0,0,3360,11332,1,501,0,0,0,0,36,0,0,73,110,0,0,0,0,825,825,25,0,0,0,32,350,0,0,339,339,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA1_5378099577,1,60020,7,0qQUd__xYG9jHlKCMdBi5ttXPiRioLRhylqOixVw6nHvOd8XsksCGLykpcWx1cquUqwVwSngMtc-pw,-1,-1,0,0,0,0,10160,13387,0,500,0,0,0,9,32,0,0,58,110,0,0,0,0,665,665,18,0,0,0,32,340,0,0,280,280,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA1_5378099577,1,60020,8,PEVL7I8-NzSy4_GjOkrRYrciEmvvjxrDlz-fncvM9UMZAqD9cdwhVqXtm_kYFiQpkYbtJuiRFSGouA,-1,-1,0,0,0,0,8738,6529,0,500,0,0,0,0,38,0,0,70,103,0,0,0,0,825,825,14,0,0,0,32,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
